,Original Title,Release year,Genre,Duration,Country,Content Rating,Director,Income,Votes,Score
64,Das Leben der Anderen,2007-04-06 00:00:00,"Drama, Mystery, Thriller",137,Germany,R,Florian Henckel von Donnersmarck,77356942,349.642,8.1
65,Spider-Man: Into the Spider-Verse,2018-12-25 00:00:00,"Animation, Action, Adventure",117,USA,Not Rated,"Bob Persichetti, Peter Ramsey",375540831,335.892,8.1
66,3 Idiots,2009-12-25 00:00:00,"Comedy, Drama",170,India,Not Rated,Rajkumar Hirani,60262836,332.217,8.1
67,Mononoke-hime,2000-05-19 00:00:00,"Animation, Adventure, Fantasy",134,Japan,PG-13,Hayao Miyazaki,169785629,331.045,8.0
68,Once Upon a Time in America,1984-09-28 00:00:00,"Crime, Drama",229,USA,R,Sergio Leone,5472914,302.317,8.0
69,The Great Dictator,1945-06-25 00:00:00,"Comedy, Drama, War",125,USA,Not Rated,Charles Chaplin,969879,197.381,8.0
70,Sunset Blvd.,1951-03-06 00:00:00,"Drama, Film-Noir",110,USA,Not Rated,Billy Wilder,299645,195.789,8.0
71,Inglourious Basterds,2009-10-02 00:00:00,"Adventure, Drama, War",153,Germany,R,Quentin Tarantino,321455689,1.229.958,8.0
72,American Beauty,2000-01-21 00:00:00,Drama,122,USA,R,Sam Mendes,356296601,1.049.009,8.0
73,Braveheart,1995-12-01 00:00:00,"Biography, Drama, History",178,USA,R,Mel Gibson,213216216,941.683,7.9
74,Star Wars: Episode VI - Return of the Jedi,1983-10-21 00:00:00,"Action, Adventure, Fantasy",131,USA,PG,Richard Marquand,475347111,928.036,7.9
75,Reservoir Dogs,1992-10-09 00:00:00,"Crime, Drama, Thriller",99,USA,R,Quentin Tarantino,2889963,896.551,7.9
76,Eternal Sunshine of the Spotless Mind,2004-10-22 00:00:00,"Drama, Romance, Sci-Fi",108,USA,R,Michel Gondry,74036715,889.875,7.9
77,Toy Story,1996-03-22 00:00:00,"Animation, Adventure, Comedy",81,USA,G,John Lasseter,404265438,864.461,7.9
78,Good Will Hunting,1998-03-06 00:00:00,"Drama, Romance",126,USA,R,Gus Van Sant,225933435,837.379,7.8
79,Snatch,2001-03-16 00:00:00,"Comedy, Crime",104,UK,R,Guy Ritchie,83557872,766.589,7.8
80,Requiem for a Dream,2000-12-15 00:00:00,Drama,102,USA,R,Darren Aronofsky,7390108,748.291,7.8
81,A Clockwork Orange,1972-09-07 00:00:00,"Crime, Drama, Sci-Fi",136,UK,Not Rated,Stanley Kubrick,26903440,740.301,7.8
82,Toy Story 3,2010-07-07 00:00:00,"Animation, Adventure, Comedy",103,USA,G,Lee Unkrich,1066969703,739.717,7.8
83,Scarface,1677-09-21 00:12:43.145224193,"Crime, Drama",170,USA,R,Brian De Palma,66023585,721.343,7.8
84,Taxi Driver,1677-09-21 00:12:43.145224193,"Crime, Drama",114,USA,R,Martin Scorsese,28441292,703.264,7.7
85,Le fabuleux destin d'AmÃ©lie Poulain,2002-01-25 00:00:00,"Comedy, Romance",122,France,R,Jean-Pierre Jeunet,173924742,690.480,7.7
86,Full Metal Jacket,1987-10-09 00:00:00,"Drama, War",116,UK,Not Rated,Stanley Kubrick,46357676,658.175,7.7
87,Aliens,1986-09-24 00:00:00,"Action, Adventure, Sci-Fi",137,USA,R,James Cameron,131384634,639.500,7.7
88,2001: A Space Odyssey,1968-12-12 00:00:00,"Adventure, Sci-Fi",149,UK,G,Stanley Kubrick,68989547,587.866,7.6
89,Citizen Kane,1948-11-25 00:00:00,"Drama, Mystery",119,USA,Not Rated,Orson Welles,1594107,389.322,7.6
90,1917,2020-01-23 00:00:00,"Drama, War",119,USA,Not Rated,Sam Mendes,384857224,362.897,7.6
91,Amadeus,1985-02-15 00:00:00,"Biography, Drama, History",160,USA,R,Milos Forman,52066791,361.028,7.6
92,Vertigo,1958-11-18 00:00:00,"Mystery, Romance, Thriller",128,USA,Not Rated,Alfred Hitchcock,7796389,352.786,7.5
93,North by Northwest,1959-10-28 00:00:00,"Adventure, Mystery, Thriller",136,USA,Not Rated,Alfred Hitchcock,73446,291.628,7.5
94,Jagten,2012-11-22 00:00:00,Drama,115,Denmark,R,Thomas Vinterberg,15843274,269.616,7.5
95,Lawrence of Arabia,1963-10-29 00:00:00,"Adventure, Biography, Drama",228,UK,PG,David Lean,45710874,261.504,7.5
96,The Sting,1974-03-21 00:00:00,"Comedy, Crime, Drama",129,USA,PG,George Roy Hill,156000000,236.285,7.5
97,Das Boot,1982-03-18 00:00:00,"Adventure, Drama, Thriller",149,West Germany,R,Wolfgang Petersen,11487676,226.427,7.5
98,Per qualche dollaro in piÃ¹,1965-12-20 00:00:00,Western,132,Italy,Not Rated,Sergio Leone,15000000,226.039,7.4
99,Jodaeiye Nader az Simin,2011-10-21 00:00:00,Drama,123,Iran,PG-13,Asghar Farhadi,22926076,214.165,7.4
100,Singin' in the Rain,1953-02-05 00:00:00,"Comedy, Musical, Romance",103,USA,Not Rated,Stanley Donen,1864182,213.152,7.4
