,Book Id,Category
959,23515727,Literature
963,23515727,Psychological
964,23515727,Psychological Fiction
966,23515727,Spanish Language Materials
967,23515727,Suspense
968,23515727,Suspense Fiction
971,23515727,Thrillers
980,77203,American Fiction
988,77203,Bildungsromans
994,77203,Coming Of Age
996,77203,Drama
1000,77203,Fictional Works
1004,77203,Friendship
1009,77203,Historical Fiction
1011,77203,Interpersonal Relations
1016,77203,Literature
1025,77203,Nouvelles
1029,77203,Open Syllabus Project
1047,18774964,Conduct Of Life
1054,18774964,Friendship
1057,18774964,Humor
1060,18774964,Interpersonal Relations
1064,18774964,Love
1084,36642458,Action & Adventure
1086,36642458,American Literature
1087,36642458,Children'S Fiction
1088,36642458,Dystopian
1089,36642458,Extraterrestrial Beings
1092,36642458,Juvenile Fiction
1094,36642458,Science Fiction
1096,36642458,Shipwrecks
1097,36642458,Survival
1100,36642458,War
1102,36642458,Young Adult Fiction
1103,18952341,Action & Adventure
1105,18952341,Epic
1106,18952341,Fantasy
1108,18952341,Fiction / Action & Adventure
1109,18952341,Fiction / Fantasy / Epic
1111,18952341,Friendship
1113,18952341,Imaginary Places
1115,18952341,Magic
1124,12505,Classic Literature
1128,12505,English Fiction
1129,12505,English Language
1130,12505,English Literature
1134,12505,Fiction In English
1137,12505,German
1138,12505,Good And Evil
1140,12505,Historical Fiction
1141,12505,History
1144,12505,Nouvelles
1159,12505,Translations Into English
1164,50898126,American Literature
1186,180357146,Families
1188,180357146,Historical Fiction
1193,33574273,Adventure And Adventurers
1196,33574273,American Fiction
1198,33574273,Brothers And Sisters
1199,33574273,Children'S Fiction
1200,33574273,Classics
1201,33574273,Decision Making
1203,33574273,Extraterrestrial Beings
1204,33574273,Families
1205,33574273,Family Life
1206,33574273,Fantasy
1207,33574273,Fantasy Fiction
1210,33574273,Friendship
1213,33574273,Good And Evil
1216,33574273,Juvenile Fiction
1220,33574273,Love
1221,33574273,Missing Persons
1234,33574273,Reading Level-Grade 7
1235,33574273,Reading Level-Grade 8
1239,33574273,Science Fiction
1242,33574273,Time Travel
1254,54814676,Biographies
1255,54814676,Biography
1256,54814676,Biography & Autobiography
1262,54814676,Death
1286,54814676,United States
1289,41804,American Literature
1290,41804,American Science Fiction
1294,41804,Children'S Fiction
1307,41804,Readers
1316,41804,Roman
1317,41804,Science Fiction
1320,41804,Short Stories
1326,41804,Thriller
1327,29579,American Fantasy Fiction
1328,29579,American Literature
1329,29579,American Science Fiction
1334,29579,Life On Other Planets
1336,29579,Nouvelles
1341,29579,Psychological Fiction
1344,29579,Science Fiction
1346,39943621,Dragons
1347,39943621,Epic
1349,39943621,Fantasy
1351,39943621,Fiction / Action & Adventure
1353,39943621,Fiction / Fantasy / Epic
1354,39943621,Good And Evil
1355,39943621,Imaginary Places
1356,39943621,Imaginary Wars And Battles
1357,39943621,Kings And Rulers
1359,39943621,Magic
1371,228665,American Literature
1372,228665,Children'S Fiction
1374,228665,Comic Books
1375,228665,Comics & Graphic Novels
1376,228665,Epic
1377,228665,Fantasy
1379,228665,Fantasy Fiction
1382,228665,Good And Evil
1387,228665,Science Fiction
1389,228665,Strips
1390,14817,American Science Fiction
1392,14817,Comics & Graphic Novels
1396,14817,Fiction In English
1402,14817,Police
1403,14817,Science Fiction
1405,49189494,American Literature
1408,20170404,Action & Adventure
1410,20170404,Adventure
1411,20170404,Amerikanisches Englisch
1415,20170404,Dystopian
1416,20170404,Epidemics
1418,20170404,Fiction / Literary
1421,20170404,Literary
1424,20170404,Science Fiction
1427,20170404,Time Travel
1429,45754981,Brothers And Sisters
1431,45754981,English Literature
1433,45754981,Fiction / Literary
1438,45754981,Missing Persons
1439,45754981,Mystery & Detective
1440,45754981,Mystery Fiction
1444,45754981,Psychological
1447,24400501,Fantasy
1452,24400501,History And Criticism
1455,24400501,Revenge
1457,24400501,Young Men
1458,18247597,Fantasy
1459,18247597,Fantasy Fiction
1465,32620332,Biography
1469,32620332,Family Life
1474,32620332,Man-Woman Relationships
1486,52845775,Biographies
1487,52845775,Biography
1488,52845775,Biography & Autobiography
1494,52845775,History
1501,52845775,United States
1510,8694,English Literature
1511,8694,Fantasy
1525,8694,Science Fiction
1543,338691,Mystery & Detective
1545,338691,Nouvelles
1546,338691,Police
1550,338691,Suspense
1556,33385229,Adventure And Adventurers
1557,33385229,Children'S Fiction
1558,33385229,Death
1560,33385229,Friendship
1565,33385229,Juvenile Fiction
1567,33385229,Love
1568,33385229,New York (N.Y.)
1571,33385229,Young Adult Fiction
1578,33917107,History
1602,1371,Adventure
1605,1371,Children'S Fiction
1611,1371,Comics & Graphic Novels
1617,1371,English Language
1618,1371,English Literature
1622,1371,Etc. Pour La Jeunesse
1652,1371,Historical
1653,1371,History And Criticism
1669,1371,Literature
1678,1371,Nouvelles
1701,1371,Readers
1706,1371,Traducciones Al Español
1714,1371,Translations Into English
1734,1371,War
1735,1371,War & Military
1738,18656031,Fantasy
1742,14781491,Action & Adventure
1746,14781491,Epic
1747,14781491,Fantasy
1750,14781491,Magic
1752,14781491,Murder
1771,19351,Translations Into English
1774,35959740,Animals
1779,35959740,Fantasy
1783,35959740,Fiction / Literary
1791,35959740,Historical
1792,35959740,Historical Fiction
1794,35959740,Literary
1795,35959740,Magic
1812,597790,British And Irish Fiction (Fictional Works By One Author)
1814,597790,English Fiction
1815,597790,Epic
1817,597790,Fantasy
1818,597790,Fantasy Fiction
1824,597790,Novela Fantástica
1826,597790,Roman
1830,7332,Action & Adventure
1832,7332,British And Irish Fiction (Fictional Works By One Author)
1837,7332,English Fiction
1838,7332,English Literature
1839,7332,Epic
1841,7332,Fantasy
1842,7332,Fantasy Fiction
1847,7332,Short Stories
1851,17184,Adaptations
1853,17184,British And Irish Fiction (Fictional Works By One Author)
1855,17184,Children'S Fiction
1856,17184,Ciencia-Ficción
1857,17184,Classic Literature
1859,17184,Comic Books
1861,17184,England
1862,17184,English Fiction
1863,17184,English Language
1864,17184,English Literature
1865,17184,English Science Fiction
1873,17184,German
1875,17184,Historical
1876,17184,History And Criticism
1877,17184,Horror Tales
1878,17184,Juvenile Fiction
1885,17184,Psychological Fiction
1886,17184,Readers
1893,17184,Science Fiction
1898,17184,Strips
1899,17184,Time Travel
1901,5129,American Fiction (Fictional Works By One Author)
1905,5129,Audiobooks
1907,5129,British And Irish Fiction (Fictional Works By One Author)
1912,5129,Ciencia-Ficción
1914,5129,Classics
