Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Isle Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",5,4.37,Beacon Press,Paperback,165,2006,1946,2021/12/11,2023/12/03,,,read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.42,Random House Worlds,Paperback,1009,2002,1998,2022/12/03,2023/12/03,,,read,,,,1,0
56922594,The Stranger in the Lifeboat,Mitch Albom,"Albom, Mitch",,"=""006288834X""","=""9780062888341""",5,4.11,Harper,Hardcover,271,2021,2021,2022/12/11,2023/12/03,,,read,,,,1,0
16130549,"Doctor Sleep (The Shining, #2)",Stephen        King,"King, Stephen",,"=""1476727651""","=""9781476727653""",5,4.13,Scribner,Hardcover,531,2013,2013,2022/12/11,2023/12/03,,,read,,,,1,0
11588,"The Shining (The Shining, #1)",Stephen        King,"King, Stephen",,"=""0450040186""","=""9780450040184""",5,4.28,New English Library,Mass Market Paperback,497,1980,1977,2022/12/11,2023/12/03,,,read,,,,1,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.55,Bantam,Mass Market Paperback,1177,2003,2000,2022/12/11,2023/12/03,,,read,,,,1,0
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.17,Bantam Books,Mass Market Paperback,1060,2011,2005,2022/12/11,2023/12/03,,,read,,,,1,0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",5,4.34,Random House Worlds,Kindle Edition,1125,2011,2011,2022/12/11,2023/12/03,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,2022/12/11,2023/12/03,,,read,,,,1,0
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""193857026X""","=""""",4,4.35,Dragonsteel Entertainment,Kindle Edition,171,2020,2020,2022/12/11,2023/12/03,,,read,,,,1,0
34703445,"Edgedancer (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250166543""","=""9781250166548""",4,4.13,Tor Books,Hardcover,272,2017,2016,2022/12/11,2023/12/03,,,read,,,,1,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",5,4.58,Tor Books,Hardcover,1232,2020,2020,2022/12/11,2023/12/03,,,read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",4,4.05,Knopf,Hardcover,259,2022,2022,2023/12/11,2023/12/03,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",5,4.08,Tor Books,Hardcover,472,2014,2006,2023/12/11,2023/12/03,,,read,,,,1,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250304458""","=""9781250304452""",4,3.62,Celadon Books,Hardcover,337,2021,2021,2023/12/11,2023/12/03,,,read,,,,1,0
18162954,Galatea,Madeline Miller,"Miller, Madeline",,"=""1408848147""","=""""",4,3.93,Bloomsbury Paperbacks,Kindle Edition,27,2013,2013,2023/12/11,2023/12/03,,,read,,,,1,0
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",5,4.40,Tor Books,Hardcover,512,2015,2008,2023/12/11,2023/12/03,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",4,3.98,Viking,Hardcover,288,2020,2020,2023/12/11,2023/12/03,,,read,,,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",5,4.41,TOR,Hardcover,604,2016,2010,2023/12/11,2023/12/03,,,read,,,,1,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5,4.49,Tor Books,Hardcover,541,2006,2006,2023/12/11,2023/12/03,,,read,,,,2,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5,4.12,Knopf,Hardcover,416,2022,2022,2023/12/11,2023/12/03,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",5,4.38,Tor Books,Hardcover,590,2007,2007,2023/12/11,2023/12/03,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",5,4.56,Tor Books,Hardcover,572,2008,2008,2023/07/10,2023/12/03,,,read,,,,1,0
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",5,4.25,Scribner,Hardcover,626,2021,2021,2023/08/21,2023/12/03,,,read,,,,1,0
60652997,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313104""","=""9781250313102""",4,4.11,Flatiron Books,Hardcover,481,2023,2023,2023/09/01,2023/12/03,,,read,,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",5,4.47,Random House,Hardcover,352,2018,2018,2021/12/11,2023/12/04,,,read,,,,1,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",5,3.96,"Little, Brown",Hardcover,771,2013,2013,2021/12/11,2023/12/04,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.50,Ballantine Books,Hardcover,476,2021,2021,2023/12/11,2023/12/04,,,read,,,,1,0
61242426,"Legends & Lattes (Legends & Lattes, #1)",Travis Baldree,"Baldree, Travis",,"=""""","=""""",4,4.04,Tor,Kindle Edition,296,2022,2022,2025/06/28,2023/12/10,,,read,,,,1,0
61474080,"A Taste of Poison (Entangled with Fae, #4)",Tessonja Odette,"Odette, Tessonja",,"=""""","=""""",4,3.91,Crystal Moon Press,Hardcover,412,2022,2022,2025/08/21,2025/08/21,,,read,,,,1,0
221733722,The Tenant,Freida McFadden,"McFadden, Freida",,"=""1464227314""","=""9781464227318""",4,3.83,Poisoned Pen Press,Paperback,368,2025,2025,,2025/09/06,,,read,,,,1,0
61126612,Alone With You in the Ether,Olivie Blake,"Blake, Olivie",,"=""1250888166""","=""9781250888167""",4,3.78,Tor Books,Hardcover,288,2022,2020,2025/09/06,2025/08/23,,,read,,,,1,0
54386622,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",4,4.16,Bloomsbury Publishing,Kindle Edition,433,2020,2015,2025/10/10,2025/09/11,,,read,,,,1,0
